train_loss,val_loss,train_acc,val_acc,lr
2.035536435868243,2.071950340270996,0.22122302158273383,0.12,0.0027612712429686843
1.8675048574269246,2.0628256130218507,0.4154676258992806,0.15,0.002136271242968684
1.7546442772844713,2.0493374919891356,0.4784172661870504,0.18,0.0013637287570313157
1.6804932081442086,2.033346357345581,0.5251798561151079,0.2,0.0007387287570313158
1.659008580146076,2.016512966156006,0.5503597122302158,0.28,0.0005
1.5958279740038535,1.9994834518432618,0.5467625899280576,0.31,0.00029991463251787784
1.5059233715208313,1.9819338893890381,0.5575539568345323,0.34,0.0002996586466732235
1.4516594264147094,1.9639561367034912,0.5737410071942446,0.35,0.0002992323921119092
1.4219774633860416,1.9455263710021973,0.6079136690647482,0.41,0.0002986364510463933
1.3724311324332257,1.926713876724243,0.6133093525179856,0.44,0.0002978716374604878
1.3324891689012377,1.9074644088745116,0.6618705035971223,0.47,0.0002969389959975546
1.3266255349564038,1.887906551361084,0.6294964028776978,0.52,0.0002958398005336485
1.2916486254698938,1.8680993127822876,0.6744604316546763,0.55,0.00029457555243755516
1.272795449057929,1.847855701446533,0.6618705035971223,0.58,0.00029314797852010246
1.2447719333840788,1.82758638381958,0.6726618705035972,0.58,0.0002915590286755445
1.2163747763462205,1.807188296318054,0.6834532374100719,0.59,0.00028981087321824044
1.2111269072663011,1.786629090309143,0.6762589928057554,0.6,0.0002879058999182662
1.179253622782316,1.7660029602050782,0.6744604316546763,0.61,0.00028584671074000784
1.162535248900489,1.7455125045776367,0.7032374100719424,0.6,0.0002836361182881911
1.1357741561724986,1.725062232017517,0.7266187050359713,0.6,0.0002812771419662019
1.117450334185319,1.7047081899642944,0.7320143884892086,0.61,0.00027877300385194395
1.097873459617011,1.684535436630249,0.7302158273381295,0.61,0.00027612712429686857
1.0704859323638807,1.6643958759307862,0.7589928057553957,0.63,0.0002733431172541856
1.0643562507286346,1.6443978357315063,0.7428057553956835,0.64,0.00027042478534263805
1.020416639691634,1.6245842456817627,0.7841726618705036,0.64,0.00026737611465258256
1.0040741052558955,1.6048690700531005,0.7643884892086331,0.68,0.00026420126930146924
0.9951455258637023,1.5855770349502563,0.7877697841726619,0.67,0.000260904585746158
0.9690909488595647,1.5663088607788085,0.7859712230215827,0.67,0.00025749056685984056
0.9662942328899027,1.5473145532608032,0.8003597122302158,0.68,0.0002539638757816566
0.9712132558548193,1.5285272645950316,0.7859712230215827,0.69,0.0002503293295474073
0.9333777890788565,1.5101326656341554,0.8111510791366906,0.69,0.0002465918925100634
0.9141284034406538,1.4922024965286256,0.814748201438849,0.7,0.00024275666955905642
0.8969581024252253,1.4744099044799805,0.8165467625899281,0.7,0.00023882889914761358
0.8821791955035367,1.4568761205673217,0.8111510791366906,0.69,0.000234813946137661
0.8852903551334957,1.439574546813965,0.814748201438849,0.69,0.0002307172944720675
0.8650959095508932,1.4226739406585693,0.8399280575539568,0.7,0.00022654453968423813
0.8469752665046307,1.4059260845184327,0.8561151079136691,0.7,0.00022230138125528897
0.8483906186741891,1.3893512630462646,0.8363309352517986,0.7,0.0002179936148292412
0.853883149383737,1.3732578086853027,0.8345323741007195,0.7,0.0002136271242968686
0.8400269721051772,1.3573474073410035,0.8399280575539568,0.71,0.00020920787375901053
0.8445423952967143,1.3417260074615478,0.8363309352517986,0.71,0.0002047418993803275
0.8228309261713097,1.3264046669006349,0.8579136690647482,0.71,0.0002002353011446264
0.8299279024275087,1.311138892173767,0.8489208633093526,0.72,0.00019569423452301638
0.8161617170134894,1.2960604238510132,0.8435251798561151,0.72,0.00019112490206627555
0.8230966016542998,1.2812653112411498,0.8435251798561151,0.72,0.00018653354493291288
0.787518577181178,1.2666403293609618,0.8651079136690647,0.72,0.00018192643436449636
0.7761711100880191,1.2521793031692505,0.8687050359712231,0.72,0.00017730986311989135
0.7912943903490793,1.237968602180481,0.85431654676259,0.72,0.0001726901368801089
0.7800479912929398,1.2242710876464844,0.8723021582733813,0.73,0.0001680735656355039
0.7809825869772932,1.2109617614746093,0.8812949640287769,0.72,0.0001634664550670874
0.7698391405798548,1.1982557630538941,0.8651079136690647,0.71,0.00015887509793372474
0.783570627514407,1.185601806640625,0.8633093525179856,0.71,0.00015430576547698386
0.7806557151053449,1.173288335800171,0.8579136690647482,0.72,0.00014976469885537384
0.7640176042378377,1.161365089416504,0.8812949640287769,0.73,0.0001452581006196728
0.7460453793299284,1.149785008430481,0.8830935251798561,0.73,0.00014079212624098977
0.7632970591243222,1.138245530128479,0.8705035971223022,0.73,0.0001363728757031317
0.7480217707242897,1.1271617364883424,0.8741007194244604,0.73,0.0001320063851707591
0.7424319064874443,1.116169466972351,0.8776978417266187,0.73,0.00012769861874471135
0.7710077638248746,1.1059314250946044,0.8597122302158273,0.74,0.0001234554603157622
0.7341611831308269,1.0958361673355101,0.8776978417266187,0.74,0.00011928270552793283
0.754663694247925,1.0860178470611572,0.8597122302158273,0.74,0.00011518605386233929
0.7243769580511739,1.0765436959266663,0.8830935251798561,0.74,0.00011117110085238674
0.7573528238337675,1.0674056506156921,0.8866906474820144,0.74,0.0001072433304409439
0.7465155604931948,1.0584870195388794,0.8651079136690647,0.74,0.00010340810748993692
0.7321628250664086,1.0497017431259155,0.8812949640287769,0.75,9.967067045259302e-05
0.7403456916054376,1.0409708857536315,0.8687050359712231,0.75,9.603612421834371e-05
0.7266336941032958,1.0328114676475524,0.8812949640287769,0.75,9.250943314015976e-05
0.721634613524238,1.0249811148643493,0.8938848920863309,0.75,8.909541425384222e-05
0.7416919221123346,1.017460160255432,0.8687050359712231,0.76,8.579873069853103e-05
0.7022552327286425,1.0103067922592164,0.8974820143884892,0.76,8.262388534741768e-05
0.7093297989248372,1.0029678440093994,0.8866906474820144,0.77,7.957521465736217e-05
0.7284966021132984,0.9961663150787353,0.8830935251798561,0.77,7.665688274581463e-05
0.7244680631074975,0.9899212789535522,0.8794964028776978,0.77,7.387287570313162e-05
0.7259052168551109,0.9836375188827514,0.8723021582733813,0.77,7.122699614805623e-05
0.7218003212976799,0.9775027656555175,0.8776978417266187,0.77,6.872285803379828e-05
0.7120241381281571,0.9714757084846497,0.8902877697841727,0.77,6.636388171180898e-05
0.7213122398733235,0.9656178092956543,0.8723021582733813,0.77,6.415328925999228e-05
0.7043660896287548,0.9600087475776672,0.8812949640287769,0.78,6.209410008173391e-05
0.7198115072662025,0.9547345805168151,0.8741007194244604,0.78,6.0189126781759633e-05
0.7040909816035263,0.9494940209388733,0.8902877697841727,0.79,5.8440971324455536e-05
0.7210212006843347,0.9446524310112,0.8651079136690647,0.79,5.6852021479897576e-05
0.7012962420209706,0.9398865079879761,0.9028776978417267,0.79,5.542444756244492e-05
