train_loss,val_loss,train_acc,val_acc
2.3456134063877534,1.9915839924531824,0.2370012091898428,0.5147058823529411
1.7295682502340666,1.3638803257661707,0.5804111245465539,0.6544117647058824
1.164631106472938,0.89165299429613,0.7388149939540508,0.75
0.7374599062473916,0.652389315997853,0.8246674727932285,0.8529411764705882
0.5138333359825568,0.5070534944534302,0.8875453446191052,0.875
0.38767597136935705,0.44282808724571676,0.9032648125755743,0.8529411764705882
0.3269624343409936,0.4000316647922291,0.9177750906892382,0.8970588235294118
0.27002093159878554,0.40667656414649067,0.9226118500604595,0.8676470588235294
0.2377653247716205,0.3718290188733269,0.9419588875453446,0.8970588235294118
0.19967632984884418,0.37589526877683754,0.939540507859734,0.8823529411764706
0.17188254067226072,0.3577464748831356,0.9600967351874244,0.8897058823529411
0.15166871987526478,0.35779983155867634,0.9552599758162031,0.8676470588235294
0.15855841779182728,0.341441356083926,0.9528415961305925,0.8970588235294118
0.12483429287119961,0.3259453738436979,0.9649334945586457,0.9044117647058824
0.11299564118216664,0.35848768143092885,0.969770253929867,0.8897058823529411
0.09690316096218494,0.3561010939233443,0.9770253929866989,0.8823529411764706
0.08888023761084175,0.3307074115556829,0.9830713422007256,0.8970588235294118
0.0842084118684229,0.3472240917822894,0.9818621523579202,0.8970588235294118
0.06640550921228518,0.337089866399765,0.9854897218863361,0.9117647058823529
0.06661312569928285,0.33380919168977174,0.9866989117291415,0.8823529411764706
0.06593894566146898,0.337538670091068,0.9842805320435308,0.8897058823529411
0.05913811440082963,0.31807002425193787,0.9879081015719468,0.8823529411764706
0.053902714723831506,0.35909397286527295,0.9903264812575574,0.8897058823529411
0.04461825920996383,0.32951053275781517,0.9939540507859734,0.8970588235294118
0.0547417031945672,0.3023697909186868,0.9854897218863361,0.9117647058823529
0.04415238414865163,0.3264198688899769,0.9951632406287787,0.9044117647058824
0.042037780116229995,0.3473811044412501,0.9891172914147521,0.8970588235294118
0.040456947754559526,0.31500695207539725,0.9879081015719468,0.8823529411764706
0.033805155966705684,0.3138411290505353,0.9963724304715841,0.9044117647058824
0.040680554881241476,0.3391910318066092,0.9915356711003628,0.8897058823529411
0.030510475244170377,0.3019356517230763,0.992744860943168,0.9191176470588235
0.03450957087275123,0.3073273301124573,0.992744860943168,0.9191176470588235
0.030607573368204837,0.3265123647802016,0.9951632406287787,0.9044117647058824
0.03994089849698645,0.3026212804457721,0.992744860943168,0.8970588235294118
0.03064740568111136,0.32530757083612327,0.9963724304715841,0.8970588235294118
0.02694889668379758,0.314473057494444,1.0,0.9044117647058824
0.030344715067146047,0.309861636337112,0.9939540507859734,0.8970588235294118
0.028722461813017998,0.3271847928271574,0.9975816203143894,0.9191176470588235
0.04777370492377045,0.3255566902020398,0.9903264812575574,0.9191176470588235
0.024486297637926913,0.3370242749943453,0.9951632406287787,0.8970588235294118
0.027028239484732246,0.32955436057904186,0.9951632406287787,0.9044117647058824
0.026952609084231246,0.3473127098644481,0.9939540507859734,0.9117647058823529
0.02223757921550265,0.3393671635319205,0.9975816203143894,0.9044117647058824
0.021791527070557787,0.32005928632091074,0.9975816203143894,0.8970588235294118
0.019504134341659974,0.32561352849006653,0.9975816203143894,0.9117647058823529
0.02519618083318603,0.31390955781235413,0.9951632406287787,0.8897058823529411
0.021212986491377293,0.33679475503809314,0.9963724304715841,0.8970588235294118
0.025132336269753298,0.3467918371453005,0.9975816203143894,0.8970588235294118
0.02047627032233319,0.3450256182866938,0.9975816203143894,0.9044117647058824
0.026316605384451446,0.32762833553202014,0.9951632406287787,0.9117647058823529
0.020619478167914207,0.3422365328844856,0.9975816203143894,0.9117647058823529
0.017389318548782562,0.33823754068683176,0.9987908101571947,0.8970588235294118
0.01819163602309475,0.3384489119052887,0.9987908101571947,0.9044117647058824
0.021899242844869538,0.329697600182365,0.9975816203143894,0.9044117647058824
0.019946793222658004,0.3467431611874524,0.9987908101571947,0.9044117647058824
0.017536385380691133,0.3486117352457607,1.0,0.9044117647058824
0.016678954932969312,0.34364774472573223,0.9987908101571947,0.8897058823529411
0.013583884848126332,0.3296755639945759,1.0,0.8970588235294118
0.023812445950443253,0.33993664734503803,0.9951632406287787,0.9044117647058824
0.018245437203882827,0.3325986616751727,0.9963724304715841,0.9044117647058824
0.016489458933670834,0.347432735211709,0.9975816203143894,0.8970588235294118
0.020857095657571916,0.340787377427606,0.9951632406287787,0.9044117647058824
0.019991851124592674,0.34869437357958627,0.9951632406287787,0.9044117647058824
0.01769035763615132,0.3401976788745207,0.9975816203143894,0.9044117647058824
0.02341990904632546,0.3341177842196296,0.992744860943168,0.9191176470588235
0.017508019696574256,0.3363504690282485,0.9975816203143894,0.9044117647058824
0.013736770286741683,0.3405481103588553,0.9975816203143894,0.8970588235294118
0.014424886852908235,0.3384126407258651,0.9987908101571947,0.9117647058823529
0.01641459125257407,0.33760834090849934,0.9987908101571947,0.9044117647058824
0.023820100606677032,0.323904391597299,0.9975816203143894,0.9117647058823529
