train_loss,val_loss,train_acc,val_acc
1.769135711862029,1.1000293064117432,0.3345323741007194,0.64
0.9310736090159245,0.48977681398391726,0.7302158273381295,0.84
0.5327864621611808,0.27861860871315003,0.8255395683453237,0.93
0.4148987383722401,0.3191110622882843,0.8758992805755396,0.85
0.32723559943034497,0.29420991748571396,0.8794964028776978,0.9
0.26385650242404113,0.25254055850207807,0.9064748201438849,0.89
0.23527860234109618,0.26246956214308736,0.9262589928057554,0.92
0.21421053801937925,0.2269121401384473,0.9316546762589928,0.92
0.17624719982310164,0.22714100292883813,0.947841726618705,0.93
0.22107184914161834,0.24432518500834705,0.9190647482014388,0.9
0.1562766953766775,0.17286813423037528,0.9532374100719424,0.92
0.15696754499519472,0.16451203036122025,0.9586330935251799,0.96
0.14202518380588766,0.1948292927443981,0.9532374100719424,0.93
0.11066114527287244,0.1756087178736925,0.9550359712230215,0.95
0.1337174743735533,0.2983556194975972,0.9550359712230215,0.86
0.14373899369145468,0.23755779024213552,0.9514388489208633,0.9
0.08494968712329865,0.15319567322731018,0.9766187050359713,0.96
0.09652674538518885,0.15032634422183036,0.9712230215827338,0.96
0.06727917189542339,0.1345669257082045,0.9892086330935251,0.94
0.08306652621077977,0.1490113203600049,0.9730215827338129,0.97
0.07884241564185929,0.17399788645096123,0.9784172661870504,0.95
0.07909193774350255,0.11435796118341386,0.9730215827338129,0.95
0.06438264520101838,0.12781823642551898,0.9838129496402878,0.97
0.07695187443344713,0.15750941831618548,0.9784172661870504,0.94
0.08090408845878333,0.1889001781027764,0.9748201438848921,0.94
0.038355234045562125,0.18425774251110852,0.9892086330935251,0.94
0.03463484209513278,0.15175326337106526,0.9946043165467626,0.96
0.059411160956076584,0.10643012691289186,0.9802158273381295,0.98
0.061532143309122794,0.11300667779520154,0.9838129496402878,0.95
0.044946006981642556,0.15110810220241547,0.9892086330935251,0.93
0.05949735132267149,0.17036892527714373,0.9892086330935251,0.94
0.03985792705320197,0.12031184503342957,0.9928057553956835,0.96
0.026767333326258247,0.12485694758594036,0.9910071942446043,0.97
0.03401897120684814,0.13314391684136354,0.9928057553956835,0.96
0.03305395834630342,0.1616889496985823,0.9946043165467626,0.97
0.03416581084388945,0.1683272369019687,0.987410071942446,0.95
0.014074665018551641,0.14448548833839595,0.9982014388489209,0.94
0.034451285738953584,0.14894481853581965,0.987410071942446,0.93
0.024719494153752172,0.1256183182296809,0.9946043165467626,0.94
0.02850790199883979,0.10689609945635312,0.9928057553956835,0.95
0.029077843411175683,0.10728464039653772,0.9964028776978417,0.97
0.015528197784274951,0.1165725062272395,0.9982014388489209,0.95
0.03996256362352011,0.18223593178670852,0.9856115107913669,0.93
0.021856223541251617,0.15623954045266145,0.9946043165467626,0.94
0.018946850561811557,0.12408776660100557,0.9982014388489209,0.96
0.0223136790559071,0.15602408712205942,0.9946043165467626,0.95
0.026061498050799044,0.11959130678791553,0.9946043165467626,0.96
0.01787677328202793,0.14425505962921306,0.9964028776978417,0.96
0.02136188574644516,0.12296623851405457,0.9982014388489209,0.96
0.012759679312007033,0.1374825264327228,0.9982014388489209,0.94
0.017783691671094018,0.13360171888838523,0.9964028776978417,0.96
0.02035437190650607,0.11352505291812122,1.0,0.96
0.021620790226210794,0.11123418711591512,0.9946043165467626,0.95
0.011818268848918111,0.10290420143632219,0.9982014388489209,0.95
0.014935233990373694,0.11208358256611974,0.9964028776978417,0.95
0.02165817975555714,0.13010792209068314,0.9928057553956835,0.94
0.02715330687854037,0.11644783120544161,0.9910071942446043,0.95
0.019375578852088973,0.1168875584640773,0.9928057553956835,0.94
0.015077150780238587,0.13304289316292853,0.9964028776978417,0.94
0.017416021764854624,0.09572888423572294,0.9982014388489209,0.97
0.014519563105573757,0.10464584903791546,0.9982014388489209,0.96
0.021651906041736654,0.10472378334030509,0.9946043165467626,0.97
0.017483725537472277,0.11991282699629664,0.9964028776978417,0.96
0.02105138856472059,0.12375153594650329,0.9910071942446043,0.97
0.016569310378805876,0.12387874891748651,0.9982014388489209,0.97
0.01295803849277147,0.12387550881132484,0.9982014388489209,0.97
0.013945548942567205,0.1092965475190431,0.9964028776978417,0.97
0.02257615446762966,0.08853192614391446,0.9928057553956835,0.97
0.01185975398318909,0.09759799241321161,1.0,0.98
0.006287499385795442,0.09296445349697023,1.0,0.97
0.01932101727550407,0.10455308693577535,0.9946043165467626,0.95
0.018537838142633222,0.1242324837273918,0.9946043165467626,0.96
0.013335500676318895,0.12882837522774934,0.9964028776978417,0.94
0.017424817823490008,0.09574666965287179,0.9928057553956835,0.97
0.012919674540380779,0.1329790351795964,0.9982014388489209,0.96
0.02012487413050111,0.11674350723042153,0.9946043165467626,0.96
0.017766087493530924,0.1144598806137219,0.9964028776978417,0.95
0.013380948841075995,0.1275897051463835,0.9982014388489209,0.95
0.014303007236809181,0.10297749216668307,0.9982014388489209,0.95
0.015515067365033913,0.11880436433013529,0.9964028776978417,0.95
0.007717117360665751,0.09750253279926255,1.0,0.98
0.009204051100561838,0.09217834554612636,0.9982014388489209,0.97
0.014532049241804068,0.11276863412931562,0.9964028776978417,0.97
0.0167324218460151,0.10162384056020528,0.9964028776978417,0.97
0.00863667236131837,0.09869688236387447,0.9982014388489209,0.98
0.009631141578014805,0.1024560375744477,0.9982014388489209,0.98
0.015312212938107818,0.1041820475878194,0.9982014388489209,0.96
0.013945005375141506,0.10243356268154458,0.9982014388489209,0.98
0.009625689887019584,0.09860868466552347,0.9982014388489209,0.97
0.011625167000837785,0.10464177570305765,0.9982014388489209,0.97
